indoor,outdoor,someone_exist,fan
23.48,26.06,1,0
24.69,26.33,1,0
23.07,25.69,1,0
24.1,25.95,1,0
25.4,27.1,1,0
22.23,23.99,1,0
31.52,33.44,1,1
24.59,26.7,1,0
25.73,27.48,1,1
31.25,32.39,1,1
33.02,34.8,1,1
34.4,36.02,1,1
31.45,32.81,1,1
32.62,34.24,1,1
32.81,34.37,1,1
30.83,32.49,1,1
29.76,30.92,1,1
30.73,32.58,1,1
30.95,33,1,1
33.4,35.46,1,1
31.98,33.78,1,1
30.21,31.76,1,1
32.27,34.57,1,1
31.48,33.14,1,1
31.93,33.88,1,1
34.24,36.08,1,1
32.28,34.27,1,1
33.17,35.09,1,1
24.2,25.8,1,0
24.89,26.28,1,0
24.15,26.08,1,0
32.03,33.58,1,1
25.22,26.9,1,0
25.09,25.77,1,0
24.3,25.4,1,0
24.8,26.44,1,0
25.4,27.2,1,0
33.52,35.49,1,1
31.64,32.66,1,1
26.41,27.78,1,1
32.16,33.75,1,1
32.02,33.6,1,1
30.38,31.34,1,1
32.8,34.44,1,1
34.15,36.17,1,1
31.36,32.61,1,1
33.2,34.83,1,1
32.51,33.57,1,1
26.23,28.15,1,1
35.1,36.9,1,1
23.67,25.61,1,0
35.15,37.29,1,1
32.97,34.86,1,1
32.37,34.36,1,1
33.8,36.09,1,1
31.48,32.93,1,1
32.48,34.32,1,1
24.45,26.42,1,0
23.7,25.76,1,0
32.16,34.42,1,1
32.83,34.46,1,1
30.84,32.75,1,1
32.09,33.61,1,1
32.16,33.71,1,1
31.11,32.43,1,1
31.95,33.66,1,1
30.89,32.2,1,1
25.11,26.77,1,0
31.54,32.61,1,1
33.02,34.8,1,1
32.26,33.81,1,1
24.88,25.42,1,0
32.06,32.77,1,1
30.6,31.69,1,1
32.59,34.6,1,1
24.57,26.62,1,0
32.52,34.69,1,1
30.91,31.88,1,1
30.3,31.44,1,1
31.73,32.73,1,1
33.88,35.86,1,1
32.02,33.84,1,1
24.86,26.6,1,0
32.84,34.43,1,1
31.45,32.81,1,1
32.01,33.63,1,1
33.2,35.41,1,1
34.44,36.82,1,1
31.9,33.5,1,1
31.94,33.85,1,1
31.89,34.1,1,1
33.22,35.21,1,1
29.4,31.37,1,1
26.98,28.11,1,1
25.12,26.75,1,0
33.69,36.02,1,1
32.38,34.27,1,1
32.4,34.11,1,1
33.7,35.66,1,1
36.28,38.56,1,1
31.52,32.95,1,1
32.6,33.61,1,1
34.13,35.69,1,1
32.33,33.95,1,1
24.74,26.7,1,0
23.54,25.16,1,0
25.73,27.46,1,1
32.49,33.98,1,1
31.96,33.85,1,1
33.2,34.7,1,1
35.18,37.38,1,1
32.63,33.88,1,1
31.3,32.66,1,1
32.3,33.68,1,1
32.22,34.19,1,1
23.65,25.79,1,0
33.01,34.35,1,1
34.45,36.24,1,1
26.26,28.13,1,1
24.48,26.9,1,0
34.09,36.02,1,1
32.43,33.46,1,1
31.13,32.88,1,1
24.99,26.62,1,0
32.51,34.4,1,1
35.46,38.11,1,1
31.95,33.02,1,1
32.85,35.05,1,1
31.45,32.73,1,1
31.95,33.28,1,1
33.4,35.71,1,1
33.53,34.98,1,1
25,25.79,1,0
30.38,31.53,1,1
31.61,32.68,1,1
25.47,27.1,1,0
33.83,35.44,1,1
31.95,33.56,1,1
34.2,35.99,1,1
31.41,33.46,1,1
23.7,26.25,1,0
31.61,33.06,1,1
31.65,33.12,1,1
30.08,31.97,1,1
34.34,36.22,1,1
34.34,36.18,1,1
25.68,27.1,1,1
31.36,32.65,1,1
33.51,34.93,1,1
32.05,33.24,1,1
31.94,33.48,1,1
31.25,32.39,1,1
24.23,26.77,1,0
24.45,26.4,1,0
32.24,33.39,1,1
32.08,33.95,1,1
30.47,31.45,1,1
35.31,37.01,1,1
31.77,32.77,1,1
32.73,35.2,1,1
23.99,26.29,1,0
32.23,34.25,1,1
34.01,35.37,1,1
32.24,33.15,1,1
31.07,32.21,1,1
36.27,38.06,1,1
30.91,32.48,1,1
35.35,37.27,1,1
33.4,34.79,1,1
32.4,34.7,1,1
31.8,33.21,1,1
34.2,36.19,1,1
31.22,32.33,1,1
30.77,32.48,1,1
29.88,31.16,1,1
29.95,31.22,1,1
32,33.91,1,1
30.91,32.88,1,1
30.95,32.8,1,1
31.29,32.58,1,1
31.35,33.09,1,1
32.32,34.44,1,1
29.76,30.92,1,1
33.48,35.39,1,1
31.94,33.61,1,1
28.8,28.24,0,0
23.18,25.36,0,0
22.82,24.75,0,0
23.52,25.19,0,0
23.79,25.91,0,0
25,26.83,0,0
24.39,26.2,0,0
25.41,27.2,0,0
25.07,26.86,0,0
25,25.79,0,0
32.77,35.13,0,0
24.29,26.1,0,0
34.15,36.17,0,0
34.34,36.18,0,0
31.73,32.73,0,0
32.48,34.32,0,0
33.51,34.93,0,0
32.51,34.4,0,0
35.01,37.21,0,0
30.7,32.13,0,0
32.58,34.46,0,0
29.93,31.53,0,0
31.7,33.41,0,0
32.11,33.99,0,0
32.74,34.29,0,0
35.4,37.52,0,0
30.71,32.4,0,0
30.91,32.88,0,0
23.02,25.21,0,0
30.77,32.48,0,0
23.91,25.66,0,0
24.15,26.08,0,0
23.91,25.98,0,0
24.1,25.92,0,0
24.23,26.04,0,0
25.22,26.9,0,0
24.46,26.1,0,0
23.96,25.8,0,0
23.48,26.06,0,0
24.3,25.4,0,0
23.07,25.69,0,0
32.67,34.53,0,0
23.6,26.38,0,0
32.22,34.42,0,0
24.74,26.7,0,0
25.11,26.77,0,0
30.6,31.69,0,0
25.12,26.75,0,0
32.74,33.85,1,1
31.68,33.52,1,1
33.23,34.97,1,1
32.8,34.16,1,1
30.93,32.61,1,1
31.29,33.02,1,1
31.08,32.89,1,1
31.34,33.02,1,1
33.96,36.15,1,1
30.84,32.5,1,1
30.57,32.67,1,1
31.93,33.88,1,1
29.41,30.98,1,1
31.7,33.41,1,1
34.77,36.65,1,1
31.32,32.32,1,1
33.1,34.71,1,1
28.02,28.18,0,0
24.41,26.29,0,0
23.6,26.38,0,0
24.69,26.33,0,0
24.71,27.59,0,0
24.27,26.39,0,0
25.55,26.28,0,0
24.3,25.4,0,0
31.89,34.1,0,0
32.94,34.28,0,0
33.23,34.97,0,0
32.24,33.39,0,0
35.15,37.29,0,0
33.7,35.71,0,0
36.28,38.56,0,0
31.27,33.21,0,0
31.43,32.9,0,0
32.8,34.16,0,0
31.69,33.2,0,0
31.95,33.66,0,0
32.62,34.24,0,0
31.68,33.24,0,0
30.83,32.49,0,0
30.73,32.58,0,0
33.77,35.83,0,0
31.41,32.7,0,0
30.68,32.88,0,0
32.63,34.89,0,0
32.03,34.27,0,0
33.27,35.44,0,0
32.45,33.71,0,0
32.05,34.07,0,0
34.8,36.77,0,0
29.97,31.83,0,0
32,33.91,0,0
24.83,26.18,0,0
31.34,34.72,0,0
31.36,33.34,0,0
33.59,35.32,0,0
32.87,34.47,0,0
24.23,26.55,0,0
30.39,32.22,0,0
25.83,25.62,0,0
26.14,27.29,0,0
23.5,26.02,0,0
