temperature,humidity,surface moisture,smoke,CAUTION
29.35,80,0.29,0,0
29.65,75,0.29,0,0
29.99,73,0.29,0,0
29.64,74,0.29,0,0
28.67,79,0.29,0,0
27.74,82,0.28,0,0
27.24,83,0.29,0,0
26.89,84,0.29,0,0
26.47,84,0.29,0,0
26.05,84,0.29,0,0
25.85,84,0.29,0,0
25.46,84,0.29,0,0
25.02,85,0.29,0,0
24.77,85,0.29,0,0
24.54,85,0.29,0,0
24.29,85,0.28,0,0
24.46,89,0.28,0,0
26.61,90,0.28,0,0
28.87,77,0.29,0,0
30.31,72,0.29,0,0
31.22,69,0.29,1,1
30.91,67,0.29,0,0
29.58,75,0.29,1,1
31.23,78,0.29,1,1
30.67,75,0.29,0,0
30.87,71,0.29,0,0
30.75,67,0.29,0,0
30.31,70,0.29,0,0
29.06,76,0.29,0,0
28.09,79,0.29,0,0
27.36,82,0.29,0,0
27,83,0.29,0,0
26.65,84,0.29,0,0
26.06,85,0.3,0,0
25.47,93,0.28,0,0
25.06,94,0.28,0,0
24.7,96,0.28,0,0
24.43,96,0.28,0,0
24.28,94,0.28,0,0
24.21,95,0.28,0,0
24.87,93,0.28,0,0
27.22,50,0.28,1,1
28.87,80,0.28,0,0
29.09,83,0.28,1,1
28.52,85,0.3,0,0
28.16,82,0.3,1,1
27.93,82,0.3,0,0
29.17,79,0.3,0,0
29.4,77,0.29,1,1
29.32,76,0.29,0,0
29.17,76,0.29,0,0
29.13,77,0.29,0,0
27.93,81,0.29,0,0
28.09,79,0.29,0,0
27.46,82,0.28,0,0
27.05,84,0.28,0,0
26.71,85,0.28,0,0
26.41,86,0.28,0,0
26.2,87,0.28,0,0
26.24,87,0.28,0,0
25.91,88,0.28,0,0
25.73,88,0.28,0,0
25.61,88,0.28,0,0
25.42,89,0.28,0,0
25.31,90,0.28,0,0
26.04,89,0.28,0,0
28.45,80,0.28,0,0
30.11,76,0.28,0,0
30.01,83,0.29,0,0
29.83,84,0.3,1,1
28.69,81,0.3,0,0
28.31,81,0.3,0,0
29.14,43,0.22,1,1
29.21,85,0.3,0,0
27.96,82,0.3,0,0
28.27,85,0.3,0,0
27.41,91,0.29,0,0
27.06,93,0.29,0,0
27.04,55,0.15,1,1
26.79,93,0.28,0,0
26.52,94,0.28,0,0
26.13,96,0.28,0,0
25.57,99,0.28,0,0
25.48,98,0.28,0,0
25.41,97,0.28,0,0
25.3,97,0.28,0,0
25.1,97,0.28,0,0
24.82,98,0.28,0,0
24.97,97,0.28,0,0
26.32,93,0.28,0,0
28.23,81,0.28,0,0
29.52,74,0.28,1,1
30.22,70,0.28,0,1
30.59,68,0.28,0,1
30.74,68,0.27,1,1
30.57,68,0.27,0,1
30.37,69,0.27,1,1
30,70,0.27,0,0
29.4,72,0.27,0,0
28.67,76,0.27,0,0
27.44,82,0.27,0,0
26.54,94,0.3,0,0
26.06,96,0.3,0,0
25.63,97,0.3,0,0
25.46,98,0.29,0,0
25.26,98,0.29,0,0
25.16,97,0.29,0,0
25,97,0.29,0,0
24.83,97,0.29,0,0
24.68,97,0.29,0,0
24.59,97,0.29,0,0
24.49,97,0.29,0,0
24.53,97,0.29,0,0
25.22,95,0.28,0,0
27.31,90,0.28,0,0
28.73,85,0.28,0,0
28.04,84,0.29,0,0
28.12,84,0.29,0,0
27.85,85,0.29,0,0
27.79,85,0.29,0,0
28.03,85,0.3,0,0
27.66,85,0.3,0,0
27.3,87,0.3,0,0
27.73,87,0.3,0,0
26.86,89,0.3,0,0
27.41,90,0.3,0,0
27.27,92,0.3,0,0
27.17,93,0.29,0,0
26.95,92,0.29,0,0
26.74,93,0.29,0,0
26.68,94,0.29,0,0
26.4,94,0.29,0,0
25.76,96,0.29,0,0
25.49,95,0.29,0,0
25.33,94,0.29,0,0
25.21,93,0.28,0,0
25.5,94,0.28,0,0
27.46,90,0.28,0,0
28.93,32,0.24,1,1
29.34,85,0.29,0,0
28.52,60,0.2,1,1
28.72,81,0.3,0,0
28.19,81,0.3,0,0
29.3,79,0.3,0,0
29.12,78,0.3,0,0
29.76,82,0.3,1,1
28.28,89,0.29,0,0
28.95,82,0.29,0,0
28.04,86,0.29,0,0
27.85,92,0.31,0,0
27.51,92,0.3,0,0
27.24,92,0.3,0,0
26.97,92,0.3,0,0
26.73,92,0.3,0,0
26.44,91,0.3,0,0
26.06,91,0.3,0,0
25.39,92,0.3,0,0
24.97,91,0.29,0,0
24.47,92,0.29,0,0
24.15,93,0.29,0,0
24.52,92,0.29,0,0
25.91,93,0.29,0,0
27.89,84,0.29,0,0
29.09,78,0.29,0,0
30.77,70,0.29,0,0
31.91,66,0.29,0,0
32.28,64,0.29,0,0
31.28,69,0.28,0,0
31.27,68,0.28,0,0
30.93,71,0.28,0,0
30.16,75,0.28,0,0
29.47,81,0.28,0,0
28.77,85,0.28,0,0
28.65,84,0.28,0,0
28.05,87,0.28,0,0
27.93,87,0.28,0,0
27.74,87,0.28,0,0
27.54,87,0.28,0,0
27.01,88,0.28,0,0
26.64,88,0.28,0,0
26.23,87,0.28,0,0
25.86,87,0.28,0,0
25.71,87,0.28,0,0
25.68,87,0.28,0,0
25.86,87,0.28,0,0
27,87,0.28,0,0
28.9,49,0.23,1,1
30.27,74,0.28,1,1
30.88,71,0.27,1,1
30.49,73,0.27,1,1
30.18,80,0.27,1,1
30.98,69,0.27,1,1
31.35,86,0.26,0,0
31.05,68,0.27,1,1
30.48,73,0.27,1,1
29.99,80,0.27,1,1
28.76,83,0.27,1,1
29.68,81,0.27,1,1
29.2,82,0.27,0,0
28.82,83,0.27,0,0
28.44,83,0.27,0,0
27.79,84,0.27,0,0
27.01,86,0.27,0,0
26.46,85,0.27,0,0
25.93,85,0.27,0,0
25.46,85,0.27,0,0
24.98,84,0.27,0,0
24.13,85,0.27,0,0
24.03,86,0.27,0,0
27.09,84,0.27,0,0
30.67,69,0.27,1,1
32.27,64,0.27,0,1
33.24,60,0.27,0,1
31.12,70,0.27,1,1
31.15,72,0.27,0,1
34.22,57,0.27,1,1
34.49,55,0.27,0,1
34.49,56,0.26,1,1
34.1,87,0.3,0,0
33.25,63,0.26,1,1
31.5,70,0.26,1,1
30.18,89,0.32,0,0
29.09,57,0.23,1,1
28,80,0.27,0,0
26.56,85,0.27,0,0
25.41,88,0.27,0,0
24.69,89,0.27,0,0
24.2,89,0.27,0,0
24.66,85,0.27,0,0
25.31,81,0.27,0,0
25.3,80,0.27,0,0
25.12,80,0.27,0,0
24.99,81,0.27,0,0
25.3,84,0.27,0,0
27.85,80,0.27,0,0
31.25,80,0.27,0,0
33.29,60,0.27,1,1
33.33,58,0.27,0,1
31.74,63,0.27,1,1
30.42,71,0.27,1,1
29.38,81,0.27,0,1
29.26,84,0.27,1,1
29.72,76,0.27,0,1
29.72,76,0.26,0,1
28.37,81,0.26,1,1
27.42,84,0.26,1,1
26.31,85,0.27,0,0
25.25,86,0.27,0,0
24.27,86,0.27,0,0
23.46,87,0.27,0,0
22.97,87,0.27,0,0
23.27,85,0.27,0,0
23.47,83,0.27,0,0
24.01,81,0.27,0,0
23.85,82,0.27,0,0
23.34,85,0.27,0,0
23.62,86,0.27,0,0
26.72,84,0.26,0,0
29.77,72,0.27,0,0
31.25,67,0.27,0,0
32.36,63,0.27,1,1
33.07,62,0.27,1,1
32.28,63,0.27,0,1
33.48,57,0.27,0,1
33.46,56,0.27,1,1
33.2,56,0.26,1,1
32.65,57,0.26,0,0
31.77,63,0.26,1,1
29.81,70,0.26,1,1
28.61,74,0.26,0,0
27.58,78,0.26,0,0
26.78,81,0.27,0,0
26.01,82,0.27,0,0
25.18,84,0.27,0,0
23.95,88,0.27,0,0
23.05,90,0.27,0,0
22.25,31,0.23,0,0
21.57,62,0.26,1,1
21.09,91,0.27,0,0
20.73,91,0.27,0,0
21.01,89,0.27,0,0
24.77,84,0.26,0,0
29.02,71,0.27,0,0
30.9,67,0.27,0,0
32.26,62,0.26,1,1
33.17,28,0.29,0,0
33.69,57,0.26,1,1
33.78,56,0.26,0,1
33.55,56,0.26,1,1
33.06,57,0.26,0,1
32.36,59,0.26,1,1
31.28,66,0.26,0,1
29.23,76,0.26,0,0
28.16,81,0.26,0,0
27.48,83,0.26,0,0
